qual,avg_expr,introns,intronsize,exonsize,avgintronsize
AC3.1,2.75,5,378,1071,75.60
AC3.2,3,11,1719,2850,156.27
AC3.3,66.5,1,84,1278,84.00
AC3.5,9.67,12,1639,3216,136.58
AC3.8,3.67,10,840,1593,84.00
AC7.2,17.83,7,4541,1842,648.71
AH6.5,25,6,303,1494,50.50
B0001.1,39.14,5,2692,735,538.40
B0001.3,7.67,9,477,1785,53.00
B0001.4,11.67,3,509,690,169.67
B0001.5,7,13,1116,3138,85.85
B0001.6,34.17,13,2662,1992,204.77
B0001.7,5,12,697,2196,58.08
B0019.2,6,1,444,702,444.00
B0024.1,87.5,1,127,894,127.00
B0024.10,7.57,4,318,1659,79.50
B0024.11,11,5,237,1734,47.40
B0024.12,10.5,0,0,498,0.00
B0024.13,25.75,5,479,1029,95.80
B0024.14,10,12,1244,2655,103.67
B0024.2,10,1,81,894,81.00
B0024.3,4.4,8,2604,1524,325.50
B0024.4,6.67,4,242,1173,60.50
B0024.9,34.29,2,106,360,53.00
B0025.2,3.5,3,1090,1398,363.33
B0025.3,4.5,4,1030,1011,257.50
B0034.3,23.5,12,7790,3024,649.17
B0035.11,12.43,6,323,1293,53.83
B0035.12,6,10,617,2511,61.70
B0035.13,47.6,4,987,894,246.75
B0035.14,16,6,4097,1206,682.83
B0035.15,12.25,6,320,852,53.33
B0035.2,2,5,259,1014,51.80
B0035.3,8,3,147,612,49.00
B0035.4,25.29,2,127,381,63.50
B0035.5,10,8,804,1569,100.50
B0035.6,9,6,363,2184,60.50
B0041.2,10.8,6,1845,2115,307.50
B0041.3,21.6,2,473,477,236.50
B0041.4,525.25,3,189,1038,63.00
B0041.5,27.33,5,947,1326,189.40
B0041.6,5.6,2,344,381,172.00
B0041.7,17.33,9,1507,4080,167.44
B0198.1,14,5,1110,1080,222.00
B0198.3,7,12,3301,3093,275.08
B0205.10,5.67,3,143,1368,47.67
B0205.3,11,8,1147,1827,143.38
B0205.6,13.71,9,1703,1341,189.22
B0205.7,54.71,7,1133,1083,161.86
B0205.9,11,6,863,1599,143.83
B0207.1,3,8,594,1953,74.25
B0207.10,3,2,374,297,187.00
B0207.4,13.5,5,365,990,73.00
B0207.9,3,3,443,426,147.67
B0213.14,11.5,4,1451,1500,362.75
B0213.2,17.67,1,79,219,79.00
B0213.3,36.4,1,84,198,84.00
B0213.4,4.5,1,71,222,71.00
B0213.5,18.43,1,50,210,50.00
B0213.6,80.43,1,119,228,119.00
B0218.1,24,5,811,1719,162.20
B0218.8,115.33,6,635,927,105.83
B0222.5,5.67,9,1048,1110,116.44
B0222.6,523.14,1,119,852,119.00
B0222.7,36,1,56,885,56.00
B0228.1,5,3,170,591,56.67
B0228.2,6.5,9,1037,5367,115.22
B0228.7,33.2,6,305,858,50.83
B0238.1,12.2,8,583,1638,72.88
B0238.10,5.67,3,449,837,149.67
B0238.11,37,3,147,954,49.00
