ID Ref,Amoeboid,Early Culminant,Fruiting Body,Loose Aggregate,Mound,Slug,Streaming,Starvation,^10 Amoeboid,^10 Early Culminant,^10 Fruiting Body,^10 Loose Aggregate,^10 Mound,^10 Slug,^10 Streaming,^10 Starvation,Mean Value
1,11.004559,9.879045,11.193115,10.567787,11.315902,9.443541,10.626964,10.598786,26045124148,8854206304,30868082905,17371627665,34426413155,5640903911,18369278288,17887977258,19932951704
2,5.775364,4.7765894,4.2231603,4.235132,4.2795773,4.527613,4.1196084,4.2183266,41285125.98,6182713.26,1804578.023,1856391.234,2060671.442,3619870.069,1407859.612,1784029.435,7500154.881
3,5.7624536,4.725655,4.2402287,4.24106,4.282308,4.5195775,4.133043,4.2347083,40371456.15,5554182.229,1878853.042,1882539.799,2073857.932,3556136.143,1454451.476,1854534.86,7328251.454
4,5.755391,4.7019815,4.964327,4.667501,4.28518,4.5092583,4.648064,4.6364093,39879374.08,5282130.912,9090835.669,4907317.943,2087808.651,3475770.824,4706748.501,4590052.817,9252504.925
5,9.947835,9.043457,8.821562,8.385883,8.846336,8.748714,9.012813,4.478641,9490426547,3658851466,2854006172,1719839773,2935177073,2626891858,3536743818,3246852.17,3353147945
6,8.091895,7.143447,7.321117,7.0144696,4.4383583,6.3226833,6.572624,4.5991173,1203656007,346001728.8,442357580.9,288368868.8,2966358.185,102097307.2,150448507.3,4233941.601,317516287.5
7,8.441475,7.959427,7.466773,9.060915,8.266654,8.772548,9.448357,8.931781,1837314008,1020511821,538678303.7,3730100759,1490382034,2699339637,5669737399,3231325143,2527173638
8,5.6852655,4.604792,6.348525,4.8679657,5.225443,5.5412498,5.8910356,5.1047797,35278288.63,4286473.839,106347758.7,7472657.804,15178580.12,27294634.7,50340377.99,12016280.17,32276881.49
9,6.2283487,4.7558184,4.784395,8.353156,4.787216,8.552459,5.0523124,4.3900228,87847456.1,5919058.444,6284493.458,1653887336,6321646.89,2093678575,10836822.62,2658690.342,483429259.8
10,5.6424227,5.123735,4.5792837,4.477404,4.4095697,4.847208,6.064485,4.4572196,32708165.04,12470004.18,4054856.616,3237895.507,2779470.806,7160058.368,67288254.41,3094855.069,16599195
11,5.8391905,5.8953266,6.4263854,5.797172,5.5154047,5.584408,6.3613014,6.111127,46081482.32,50708258.93,120134480,42870826.79,26047967.94,29496562.44,108507493.2,72646231.81,62061662.93
12,10.162021,10.073385,9.727263,9.23408,9.354941,9.334553,9.636216,8.03195,11743590002,10758564502,7584144209,4507506147,5133464089,5022677100,6903435370,1117403334,6596348094
13,7.8996077,5.0828447,4.498695,4.245897,4.2908382,4.321734,4.5618463,4.7824516,946357535.5,11509816.66,3395201.086,1904121.011,2115540.693,2272899.998,3903071.321,6259012.735,122214649.9
14,5.622462,7.373314,7.2596946,6.89566,5.7160797,6.447936,6.6768026,5.215094,31569324.48,474927471.7,406615109.2,243085133.1,37237692.03,124224478.3,176070000.3,14880633.08,188576230.3
15,6.3875,6.1869054,4.4480505,4.69553,4.391145,5.6033573,5.6950254,5.0828447,113060039.1,82174062.02,3031775.875,5210101.646,2665494.445,30512877.32,35888611.31,11509816.66,35506597.3
16,11.164184,11.460286,11.087695,11.603326,9.548259,11.354619,12.36057,10.930751,30079447581,39080000365,28081009001,44241000604,6298569254,35622603922,83250142266,24350058721,36375353964
17,5.438647,4.534193,4.699573,7.2304087,4.459429,7.152733,6.457874,4.4134746,22641683.48,3672823.185,5255136.49,390506678.4,3110230.227,350525920.4,126152445,2804182.762,113083637.5
18,9.9432,9.955567,10.207653,10.935452,9.694766,11.035003,10.299366,9.694766,9446300350,9564449857,12281714053,24454984188,7334547254,26774696438,13430893822,7334547254,13827766652
19,5.367431,4.3554983,4.712094,4.7337327,4.288253,4.1700196,4.8130903,4.4223905,19845621.38,2456849.116,5396838.905,5649855.097,2102829.21,1589940.831,6671755.111,2861349.343,5821879.874
20,7.0449243,6.8861494,7.457971,7.0061393,4.4134746,6.526824,8.175288,7.15918,301136437.5,239753197.6,532361822.2,284962478.5,2804182.762,140287513.7,1333615424,353698174.4,398577403.9
