Gene ID,Control,Cancer
ENSG00000000003,2867.310345,4225.555556
ENSG00000000005,4.896551724,0.555555556
ENSG00000000419,1297.758621,2081.444444
ENSG00000000457,467.7931034,650.0555556
ENSG00000000460,192.3448276,511.3888889
ENSG00000000938,875.6551724,438.1388889
ENSG00000000971,8813.344828,4934.694444
ENSG00000001036,1809.482759,2172.916667
ENSG00000001084,3837.172414,4945.805556
ENSG00000001167,778.0689655,1249.138889
ENSG00000001460,302.2068966,809.5
ENSG00000001461,1120.724138,1157.305556
ENSG00000001497,1152.241379,1385.027778
ENSG00000001561,529.6551724,929
ENSG00000001617,2732.689655,4937.638889
ENSG00000001626,125.7241379,26.02777778
ENSG00000001629,1410.551724,2156.694444
ENSG00000001630,39.44827586,52.08333333
ENSG00000001631,1027.689655,1342.666667
ENSG00000002016,342,421.8333333
ENSG00000002079,2.413793103,8.25
ENSG00000002330,905.8275862,1100.361111
ENSG00000002549,2695.413793,2414.888889
ENSG00000002586,5138.965517,3450.972222
ENSG00000002587,1971.448276,1024.861111
ENSG00000002726,150.8275862,386.7222222
ENSG00000002745,4.931034483,12.08333333
ENSG00000002746,37.86206897,49.83333333
ENSG00000002822,571.4137931,679.25
ENSG00000002834,5739.103448,7245.361111
ENSG00000002919,510.5862069,545.3888889
ENSG00000002933,2157.413793,721.1388889
ENSG00000003056,2810,3087.138889
ENSG00000003096,390.4137931,183.6111111
ENSG00000003137,140.6896552,110.3333333
ENSG00000003147,1310.793103,1997.555556
ENSG00000003249,124.3103448,427.6666667
ENSG00000003393,616.7931034,820.5833333
ENSG00000003400,1160.931034,935
ENSG00000003402,2878.137931,2260.416667
ENSG00000003436,2217.689655,1501.944444
ENSG00000003509,475.3448276,615.0555556
ENSG00000003756,4289.862069,4550.694444
ENSG00000003987,8.379310345,10.77777778
ENSG00000003989,875.0344828,550.8333333
ENSG00000004059,1383.62069,1921.361111
ENSG00000004139,815.7241379,764.5
ENSG00000004142,1875.37931,2477.527778
ENSG00000004399,4058.517241,1946.027778
ENSG00000004455,3414.448276,3681.833333
ENSG00000004468,206.2758621,148.1944444
ENSG00000004478,2579.62069,5180.166667
ENSG00000004487,2314.413793,4594.972222
ENSG00000004534,5616.724138,5816.805556
ENSG00000004660,636.862069,390.3055556
ENSG00000004700,1440.137931,1654.916667
ENSG00000004766,548.9310345,713.9722222
ENSG00000004776,5911.62069,180.6388889
ENSG00000004777,366.8275862,452.7222222
ENSG00000004779,1264.413793,1919.916667
ENSG00000004799,4577.931034,574.5277778
ENSG00000004809,7.586206897,3.472222222
ENSG00000004838,23.82758621,45.72222222
ENSG00000004846,49.48275862,96.77777778
ENSG00000004848,1.172413793,13.05555556
ENSG00000004864,741.9655172,1220.194444
ENSG00000004866,564.0344828,589.3333333
ENSG00000004897,1726.827586,2070.972222
ENSG00000004939,2.75862069,2.472222222
ENSG00000004948,5.75862069,6.194444444
ENSG00000004961,593.3103448,745.7777778
ENSG00000004975,973.2068966,1046.75
ENSG00000005001,1278.275862,1608.916667
ENSG00000005007,3087.896552,3598.861111
ENSG00000005020,2111.37931,1990.083333
ENSG00000005022,5088.413793,7086.694444
ENSG00000005059,589.0344828,439
ENSG00000005073,316.4827586,198.1111111
ENSG00000005075,832.137931,1259.138889
ENSG00000005100,640.7931034,913.5833333
ENSG00000005102,564.5172414,95.52777778
ENSG00000005108,203.6206897,91.58333333
ENSG00000005156,570.6896552,942.1111111
ENSG00000005175,803.0689655,1093.75
ENSG00000005187,329.7241379,338.9166667
ENSG00000005189,122.8965517,347.7222222
ENSG00000005194,752.6206897,1114.333333
ENSG00000005206,2038.655172,2135.222222
ENSG00000005238,795.862069,729.9444444
ENSG00000005243,395.4482759,173.5
ENSG00000005249,1615.793103,358.1666667
ENSG00000005302,1170.931034,1343.5
ENSG00000005339,2806.862069,2364.416667
ENSG00000005379,917.6896552,749.5
ENSG00000005381,15.82758621,5.944444444
ENSG00000005421,5.827586207,22.94444444
ENSG00000005436,516.9310345,620.3055556
ENSG00000005448,248.9310345,416.6666667
ENSG00000005469,2028.413793,2691.722222
ENSG00000005471,104.4482759,35.33333333
ENSG00000005483,4568.275862,3700.444444
ENSG00000005486,1672.034483,1704.027778
ENSG00000005513,62.79310345,24
ENSG00000005700,1627.241379,2033.833333
ENSG00000005801,906.8965517,1282.444444
ENSG00000005810,2447.172414,2220.972222
ENSG00000005812,1640.586207,1454.166667
ENSG00000005844,1835.62069,499.4166667
ENSG00000005882,763.5862069,720.6111111
ENSG00000005884,6893.862069,11321.88889
ENSG00000005889,961.137931,885.0277778
ENSG00000005893,3155.724138,3465.694444
ENSG00000005955,2956.551724,3332.638889
ENSG00000005961,42,40.83333333
ENSG00000005981,6.655172414,5.111111111
ENSG00000006007,2627.413793,3827.972222
ENSG00000006015,1064.448276,1074.611111
ENSG00000006016,210.0689655,115.6111111
ENSG00000006025,705.5862069,809.3333333
ENSG00000006042,1243.965517,1156.833333
ENSG00000006047,20.4137931,42.02777778
ENSG00000006059,3.689655172,41.27777778
ENSG00000006062,934.5517241,521
ENSG00000006071,36.5862069,4.055555556
