Ensembl ID,Entrez ID,Control Gene Expression,Cancer Gene Expression
ENSG00000186092,79501,0,0
ENSG00000187634,148398,587.6896552,217.3333333
ENSG00000187961,339451,333.3448276,550.6111111
ENSG00000187583,84069,783.9655172,1010.027778
ENSG00000187608,9636,1791.896552,4458.333333
ENSG00000188157,375790,5582.137931,9967.638889
ENSG00000207730,406984,27.31034483,26.88888889
ENSG00000207607,406983,33.37931034,35.33333333
ENSG00000198976,554210,48.82758621,56.11111111
ENSG00000162571,254173,44.5862069,57.75
ENSG00000176022,126792,502.9310345,570.4444444
ENSG00000162572,6339,148.4827586,111.0277778
ENSG00000169972,126789,327.3448276,490.4166667
ENSG00000224051,80772,665.2068966,847.2222222
ENSG00000169962,83756,53.13793103,35.5
ENSG00000205116,643965,4.655172414,30.36111111
ENSG00000179403,64856,3469.586207,2479.916667
ENSG00000215915,219293,194.5172414,235.25
ENSG00000160072,83858,1316.931034,1694.027778
ENSG00000197785,55210,614.7931034,991.0277778
ENSG00000197530,142678,1566.310345,1662.916667
ENSG00000189409,8510,123.4137931,19.13888889
ENSG00000169885,163688,27.27586207,26.91666667
ENSG00000187730,2563,24.96551724,28.08333333
ENSG00000067606,5590,597.4827586,1082.944444
ENSG00000157933,6497,2812.655172,1583.333333
ENSG00000157916,11079,2837.310345,3825.027778
ENSG00000149527,9651,2039.310345,2513.583333
ENSG00000157873,8764,3500.655172,2692.361111
ENSG00000157870,127281,857.4827586,1335.916667
ENSG00000169717,140625,0.068965517,0
ENSG00000142611,63976,111.2068966,190.4166667
ENSG00000130762,27237,761.4827586,1239.805556
ENSG00000158109,127262,1704.172414,1683.555556
ENSG00000078900,7161,82.17241379,267.6111111
ENSG00000162592,148870,0.137931034,0
ENSG00000235169,388588,45.4137931,57.66666667
ENSG00000169598,1677,189.3793103,205.5555556
ENSG00000196581,55966,45,77.61111111
ENSG00000069424,8514,1169.827586,729.4722222
ENSG00000158286,388591,1328.965517,1666.361111
ENSG00000173673,390992,0.034482759,0.027777778
ENSG00000187017,83715,120,620.7777778
ENSG00000173662,80835,2.793103448,4.611111111
ENSG00000204859,3104,888.6551724,847.5
ENSG00000116273,148479,763.4137931,935.2777778
ENSG00000041988,90326,278.6206897,370.9166667
ENSG00000171735,23261,841.3103448,932.3055556
ENSG00000049245,9341,3042.655172,2950.777778
ENSG00000049246,8863,801.2413793,575.6666667
ENSG00000116288,11315,3316.517241,4058.944444
ENSG00000162426,50651,72.48275862,30.44444444
ENSG00000131686,765,0.551724138,1.805555556
ENSG00000049239,9563,3545.482759,2092.861111
ENSG00000171621,80176,1505,980.1388889
ENSG00000171612,84275,326.4827586,430.6388889
ENSG00000188807,199953,409.9310345,563.7777778
ENSG00000171608,5293,1192.793103,446.4722222
ENSG00000173614,64802,289.862069,308.0555556
ENSG00000162444,116362,230.3448276,57.63888889
ENSG00000130939,10277,1524.137931,1941.916667
ENSG00000054523,23095,1477.62069,1592.166667
ENSG00000142657,5226,2978.37931,5353.583333
ENSG00000175279,378708,59.20689655,96.33333333
ENSG00000251503,100526739,0,0
ENSG00000241563,1325,4.344827586,5.555555556
ENSG00000142655,5195,900.5862069,779
ENSG00000120948,23435,3972.758621,5161.916667
ENSG00000171819,10218,67.86206897,0.777777778
ENSG00000120942,29914,577.2413793,636.3888889
ENSG00000204624,57540,7.655172414,24.02777778
ENSG00000132879,93611,670.7931034,802.8611111
ENSG00000116663,26270,297.6896552,402.1388889
ENSG00000162490,374946,12.03448276,37.66666667
ENSG00000177674,57085,737.3448276,1054.444444
ENSG00000011021,1185,644.7586207,733.7777778
ENSG00000083444,5351,1991.413793,3147.361111
ENSG00000116688,9927,3320.310345,3403.416667
ENSG00000116691,60672,484.3448276,663.3055556
ENSG00000120949,943,73.24137931,21.61111111
ENSG00000028137,7133,2584.068966,928.75
ENSG00000048707,55187,2202.034483,2072.527778
ENSG00000204518,343066,2.655172414,0.277777778
ENSG00000188984,126767,0,0.277777778
ENSG00000157330,93190,0.034482759,0.111111111
ENSG00000116726,390999,0.034482759,0.027777778
ENSG00000116721,65121,0,0.277777778
ENSG00000120952,65122,0.034482759,1.361111111
