MGI ID,mRNA copy number average [molecules/cell],mRNA half-life average [h],transcription rate (vsr) average [molecules/(cell*h)]
MGI:2448309;MGI:2448458;MGI:2448306;MGI:2448287;MGI:2448289;MGI:2448290;MGI:2448293;MGI:2448457;MGI:2448300;MGI:2448302;MGI:2448297;MGI:2448295,NA,NA,NA
MGI:2448419;MGI:2448420;MGI:2448421;MGI:2448423;MGI:2448425;MGI:2448427;MGI:2448432;MGI:2448436;MGI:2448439;MGI:2448441;MGI:2140113;MGI:2448443,NA,NA,NA
MGI:87904;MGI:87904,2187.76,11.21,182.3
MGI:2448413,NA,NA,NA
MGI:2448319;MGI:2448320;MGI:2448322;MGI:2448326;MGI:2448329;MGI:2448351;MGI:2448355;MGI:2448357,NA,NA,NA
MGI:1925544;MGI:1925544,12.79,10.26,1.13
MGI:1096881,3229.54,17.5,196.89
MGI:1330282,1825.51,15.89,118.28
MGI:96777,2247.05,13.78,172.73
MGI:1931526,4.31,3.85,0.86
MGI:88246,630.69,15.1,42.27
,NA,NA,NA
MGI:97355;MGI:97355;MGI:97355,145.85,14.29,10.14
MGI:101757;MGI:101757,729.82,14.39,50.51
MGI:105384;MGI:105384,NA,10.38,27.03
MGI:97549;MGI:97549,692.25,16.04,44.6
MGI:107812,395.89,13.73,28.39
MGI:95393;MGI:95393,NA,12.78,11.64
MGI:104820,NA,9.18,NA
MGI:98003,408.9,18.14,24.37
MGI:98107,341.76,15.53,22.71
MGI:97749,NA,NA,NA
MGI:98105;MGI:98105,NA,NA,NA
MGI:97591,1089.96,21,59.42
MGI:1924855;MGI:1888388;MGI:1924855;MGI:1924855;MGI:1888388,10.94,19.97,0.62
MGI:106248,437.32,12.63,33.22
MGI:98869;MGI:1095406;MGI:1095408;MGI:1095408,NA,10.3,NA
MGI:1333112,165.94,15.9,10.76
MGI:109484,72.15,11.11,6.06
MGI:1914677,445.93,10.99,37.74
MGI:1922867,11.34,3.13,2.72
MGI:96247,898.58,19.09,52.09
MGI:1333818,68.8,15.69,4.51
MGI:894689;MGI:894689,248.6,17.75,15.02
MGI:105922;MGI:105922,NA,6.32,NA
MGI:105381,NA,11.52,NA
MGI:1353472,NA,9.58,50.76
MGI:105943;MGI:105943,NA,NA,NA
MGI:96759;MGI:96759;MGI:96759,388.36,23.93,19.69
