gi,est_hits,introns,intronsize,exonsize,avgintronsize
14758649,2818,10,2814,2175,281.4
16163829,2284,0,0,2058,0
14765200,2116,7,1664,1941,237.7142857
14731079,4731,13,14162,1830,1089.384615
14765959,2878,11,29652,1662,2695.636364
14750405,2757,9,17870,1596,1985.555556
14742600,2155,8,6464,1401,808
18572180,9978,0,0,1389,0
17438867,8720,0,0,1389,0
18601895,7572,3,813,1362,271
17986283,6410,3,2619,1356,873
14743850,2088,7,10982,1350,1568.857143
14389309,6471,2,2421,1348,1210.5
4503481,6229,9,12225,1314,1358.333333
4503571,3972,10,12264,1305,1226.4
18554115,3061,0,0,1284,0
4506649,5590,9,5464,1212,607.1111111
4503529,2062,9,3051,1199,339
18566894,5645,1,164,1152,164
14747964,3895,4,790,1128,197.5
14043070,2063,9,2405,1119,267.2222222
18559360,9696,2,185,1107,92.5
18585538,2823,7,1865,1107,266.4285714
17468802,2103,0,0,1020,0
7669492,8320,7,2344,1008,334.8571429
14765325,2042,6,18137,1005,3022.833333
14732160,4605,7,5884,954,840.5714286
16188506,4577,7,5852,954,836
4506667,6126,6,3070,953,511.6666667
18568445,9998,1,496,894,496
9845502,4268,5,3837,888,767.4
15302086,3333,0,0,888,0
14740676,3042,0,0,888,0
14721839,2659,0,0,888,0
13642851,2588,0,0,888,0
10835063,2816,10,21752,885,2175.2
14779903,7549,5,1656,882,331.2
16753227,2507,5,2576,867,515.2
18595696,5282,1,54,831,54
18566900,2251,1,143,813,143
18595694,5420,1,68,810,68
4506661,3219,7,2336,801,333.7142857
18588694,2506,0,0,801,0
18556788,4915,5,4156,795,831.2
4506723,4915,5,4156,795,831.2
14785114,3705,0,0,795,0
17459327,5956,1,93,792,93
4506725,2582,6,3745,792,624.1666667
13636157,2957,0,0,786,0
18579498,6809,1,65,765,65
17158044,2864,5,3163,750,632.6
18591855,4514,1,165,741,165
18582905,2906,1,65,738,65
18572194,8304,1,56,735,56
15718687,3839,5,4596,732,919.2
18565921,4475,1,62,723,62
18572182,8072,2,219,720,109.5
18579511,6816,1,110,720,110
13636172,3029,0,0,711,0
18558255,2739,1,92,699,92
18577946,3132,1,455,672,455
18579505,6531,1,57,669,57
18595704,4694,1,57,669,57
18558263,4223,1,57,669,57
18599717,4508,1,164,666,164
18570380,2000,5,1670,666,334
18577942,2043,2,151,663,75.5
17433896,4470,1,59,645,59
18591859,3848,1,59,645,59
5174431,3292,5,1700,645,340
18561946,2857,0,0,645,0
15431297,2847,4,1455,636,363.75
18545085,2078,1,59,627,59
18551158,9948,1,209,618,209
6912634,3836,7,3588,612,512.5714286
17475616,2982,0,0,612,0
18545267,2676,1,79,606,79
18599727,4149,1,82,591,82
18601033,2801,1,56,591,56
18584154,4159,1,40,588,40
18561970,3481,1,62,588,62
18591853,4505,1,52,582,52
14720157,2214,0,0,579,0
15431303,2207,5,3328,579,665.6
18595698,4743,1,52,576,52
18559364,9971,1,55,567,55
18579501,6052,1,160,567,160
18545279,3049,0,0,564,0
18559362,2985,0,0,564,0
17447531,2690,0,0,564,0
18574549,3529,1,56,558,56
14784664,3847,3,2153,552,717.6666667
18584158,4582,1,140,546,140
18567359,4444,1,136,546,136
14760623,4351,3,706,528,235.3333333
18586699,2146,1,110,528,110
18603614,4777,1,57,522,57
4507669,3163,5,3175,519,635
18551138,9939,0,0,516,0
18602754,5174,3,396,513,132
18581952,2752,1,76,510,76
13650429,2326,0,0,510,0
18579086,2091,1,76,510,76
12408692,2104,3,585,504,195
18552893,4255,1,109,498,109
18595312,2808,1,372,495,372
17484432,2391,1,56,474,56
18552895,3738,1,56,471,56
13641133,2296,0,0,471,0
18550975,2098,5,15228,450,3045.6
6715607,2351,2,1012,444,506
4504353,2318,2,992,444,496
18559199,2027,0,0,441,0
18561995,7099,2,373,429,186.5
17474450,2037,0,0,429,0
18551148,9744,0,0,426,0
18572188,10000,0,0,420,0
18563902,10000,2,478,420,239
18559374,3896,1,56,390,56
12408687,2090,2,1124,369,562
18593028,2634,1,47,360,47
18568453,9982,0,0,357,0
18567361,2643,0,0,357,0
18574551,3457,1,85,303,85
18561976,2585,1,93,303,93
18545273,2842,2,374,300,187
18593026,2808,1,105,282,105
6382079,210,28,54665,9675,1952.321429
18546264,481,31,68286,8106,2202.774194
17486458,788,45,14561,7920,323.5777778
14764092,241,43,101290,7692,2355.581395
16753233,461,55,20388,7626,370.6909091
18584485,244,31,158485,7614,5112.419355
18579590,202,46,232180,7545,5047.391304
4507195,530,34,135125,7094,3974.264706
4507659,203,50,54108,7050,1082.16
18553509,1888,45,67269,6963,1494.866667
18593102,251,6,10139,6912,1689.833333
