Ensembl ID,Entrez ID,Control Gene Expression,Cancer Gene Expression,Average Intron Length,Average Exon Length
ENSG00000186092,79501,0,0,0,918
ENSG00000187634,148398,587.6896552,217.3333333,354.2058824,2119.882353
ENSG00000187961,339451,333.3448276,550.6111111,583,1490
ENSG00000187583,84069,783.9655172,1010.027778,4173.666667,2417
ENSG00000187608,9636,1791.896552,4458.333333,814,666
ENSG00000188157,375790,5582.137931,9967.638889,57342,7326
ENSG00000207730,406984,27.31034483,26.88888889,0,95
ENSG00000207607,406983,33.37931034,35.33333333,0,90
ENSG00000198976,554210,48.82758621,56.11111111,0,83
ENSG00000162571,254173,44.5862069,57.75,8607.666667,2216.666667
ENSG00000176022,126792,502.9310345,570.4444444,0,2792
ENSG00000162572,6339,148.4827586,111.0277778,3176.6,2763.6
ENSG00000169972,126789,327.3448276,490.4166667,827.6666667,1451.666667
ENSG00000224051,80772,665.2068966,847.2222222,3882,2193
ENSG00000169962,83756,53.13793103,35.5,1120,2559
ENSG00000205116,643965,4.655172414,30.36111111,2336,492
ENSG00000179403,64856,3469.586207,2479.916667,2898.5,4461.5
ENSG00000215915,219293,194.5172414,235.25,33222,3859
ENSG00000160072,83858,1316.931034,1694.027778,11175.25,1963.25
ENSG00000197785,55210,614.7931034,991.0277778,13241.66667,2493.333333
ENSG00000197530,142678,1566.310345,1662.916667,149,2822.5
ENSG00000189409,8510,123.4137931,19.13888889,461,1076
ENSG00000169885,163688,27.27586207,26.91666667,2734,1101
ENSG00000187730,2563,24.96551724,28.08333333,19000,1925
ENSG00000067606,5590,597.4827586,1082.944444,21041,1928.142857
ENSG00000157933,6497,2812.655172,1583.333333,151624,5707
ENSG00000157916,11079,2837.310345,3825.027778,10513,3159
ENSG00000149527,9651,2039.310345,2513.583333,4819.666667,4230.666667
ENSG00000157873,8764,3500.655172,2692.361111,1917.25,2139.75
ENSG00000157870,127281,857.4827586,1335.916667,461,2711.333333
ENSG00000169717,140625,0.068965517,0,0,1422
ENSG00000142611,63976,111.2068966,190.4166667,180375.25,8694
ENSG00000130762,27237,761.4827586,1239.805556,6263,2111.2
ENSG00000158109,127262,1704.172414,1683.555556,1851,2314.333333
ENSG00000078900,7161,82.17241379,267.6111111,5189.125,4443.0625
ENSG00000162592,148870,0.137931034,0,34142,2174
ENSG00000235169,388588,45.4137931,57.66666667,2675.5,528.5
ENSG00000169598,1677,189.3793103,205.5555556,3000.818182,2480
ENSG00000196581,55966,45,77.61111111,123252,2496.5
ENSG00000069424,8514,1169.827586,729.4722222,22290.85714,3949.714286
ENSG00000158286,388591,1328.965517,1666.361111,2238.25,2024.5
ENSG00000173673,390992,0.034482759,0.027777778,1380,697
ENSG00000187017,83715,120,620.7777778,21822,2707.5
ENSG00000173662,80835,2.793103448,4.611111111,9453.333333,2334
ENSG00000204859,3104,888.6551724,847.5,2130.5,2336.5
ENSG00000116273,148479,763.4137931,935.2777778,13336,3670
ENSG00000041988,90326,278.6206897,370.9166667,5225.333333,1590
ENSG00000171735,23261,841.3103448,932.3055556,13360.25,3429.125
ENSG00000049245,9341,3042.655172,2950.777778,15918,2205
ENSG00000049246,8863,801.2413793,575.6666667,12050.33333,4555
ENSG00000116288,11315,3316.517241,4058.944444,15131.33333,902.3333333
ENSG00000162426,50651,72.48275862,30.44444444,14855,2079
ENSG00000131686,765,0.551724138,1.805555556,6763,1160.8
ENSG00000049239,9563,3545.482759,2092.861111,54834,9115
ENSG00000171621,80176,1505,980.1388889,42197.5,3040
ENSG00000171612,84275,326.4827586,430.6388889,83686,1461
ENSG00000188807,199953,409.9310345,563.7777778,8904,3749.333333
ENSG00000171608,5293,1192.793103,446.4722222,15383.2,4476.6
ENSG00000173614,64802,289.862069,308.0555556,76580,3781
ENSG00000162444,116362,230.3448276,57.63888889,18061.5,762.5
ENSG00000130939,10277,1524.137931,1941.916667,25167.83333,5057.5
ENSG00000054523,23095,1477.62069,1592.166667,25346.75,8154.25
ENSG00000142657,5226,2978.37931,5353.583333,19213,1904
ENSG00000175279,378708,59.20689655,96.33333333,22942,1243
ENSG00000251503,100526739,0,0,8098.2,1359.8
ENSG00000241563,1325,4.344827586,5.555555556,2108,1231
ENSG00000142655,5195,900.5862069,779,18166.25,1492.375
ENSG00000120948,23435,3972.758621,5161.916667,8736,4135
ENSG00000171819,10218,67.86206897,0.777777778,8806,2290
ENSG00000120942,29914,577.2413793,636.3888889,23166,3654
ENSG00000204624,57540,7.655172414,24.02777778,8310,2936.666667
ENSG00000132879,93611,670.7931034,802.8611111,1685.857143,2630.571429
ENSG00000116663,26270,297.6896552,402.1388889,17422,1549
ENSG00000162490,374946,12.03448276,37.66666667,53566,1773
ENSG00000177674,57085,737.3448276,1054.444444,5393.4,1202.2
ENSG00000011021,1185,644.7586207,733.7777778,5836.142857,3106
ENSG00000083444,5351,1991.413793,3147.361111,37774.5,3101.5
ENSG00000116688,9927,3320.310345,3403.416667,28730.5,4604.5
ENSG00000116691,60672,484.3448276,663.3055556,22014,1801
ENSG00000120949,943,73.24137931,21.61111111,23324.75,2948.75
ENSG00000028137,7133,2584.068966,928.75,25733,3604
ENSG00000048707,55187,2202.034483,2072.527778,60608.66667,10080.83333
ENSG00000204518,343066,2.655172414,0.277777778,41914,1575
ENSG00000188984,126767,0,0.277777778,8668.5,3940.5
ENSG00000157330,93190,0.034482759,0.111111111,13280,958
ENSG00000116726,390999,0.034482759,0.027777778,2560,1785
