MGI ID,Entrez ID,mRNA copy number average [molecules/cell],mRNA half-life average [h],transcription rate (vsr) average [molecules/(cell*h)],Average Intron Length,Average Transcript Length
MGI:MGI:2448309,319173,NA,NA,NA,0,399
MGI:MGI:2448458,319162,NA,NA,NA,0,2146
MGI:MGI:2448306,319172,NA,NA,NA,0,473
MGI:MGI:2448287,319164,NA,NA,NA,0,2482
MGI:MGI:2448289,319165,NA,NA,NA,0,572
MGI:MGI:2448290,319166,NA,NA,NA,0,704
MGI:MGI:2448293,319167,NA,NA,NA,0,485
MGI:MGI:2448457,319191,NA,NA,NA,0,393
MGI:MGI:2448300,319170,NA,NA,NA,0,393
MGI:MGI:2448302,665433,NA,NA,NA,0,481
MGI:MGI:2448297,319169,NA,NA,NA,0,393
MGI:MGI:2448295,319168,NA,NA,NA,0,405
MGI:MGI:2448419,326619,NA,NA,NA,0,539
MGI:MGI:2448420,326620,NA,NA,NA,0,397
MGI:MGI:2448421,319155,NA,NA,NA,0,820
MGI:MGI:2448423,319156,NA,NA,NA,0,1138
MGI:MGI:2448425,319157,NA,NA,NA,0,391
MGI:MGI:2448427,69386,NA,NA,NA,0,470
MGI:MGI:2448432,319158,NA,NA,NA,0,727
MGI:MGI:2448436,319159,NA,NA,NA,0,774
MGI:MGI:2448439,319160,NA,NA,NA,0,312
MGI:MGI:2448441,100041230,NA,NA,NA,0,402
MGI:MGI:2140113,97122,NA,NA,NA,0,1630
MGI:MGI:2448443,320332,NA,NA,NA,0,2863
MGI:MGI:87904,11461,2187.76,11.21,182.3,1339.5,955.875
MGI:MGI:2448413,319189,NA,NA,NA,0,381
MGI:MGI:2448319,319150,NA,NA,NA,0,620
MGI:MGI:2448320,319148,NA,NA,NA,0,630
MGI:MGI:2448322,319149,NA,NA,NA,0,1249
MGI:MGI:2448326,319151,NA,NA,NA,0,836
MGI:MGI:2448329,260423,NA,NA,NA,0,1261
MGI:MGI:2448351,319154,NA,NA,NA,0,488
MGI:MGI:2448355,15077,NA,NA,NA,0,2200.333333
MGI:MGI:2448357,97114,NA,NA,NA,0,1020
MGI:MGI:1925544,78294,12.79,10.26,1.13,178,720.4
MGI:MGI:1096881,13627,3229.54,17.5,196.89,832,949.5
MGI:MGI:1330282,20198,1825.51,15.89,118.28,2061.5,426.6666667
MGI:MGI:96777,16852,2247.05,13.78,172.73,2889.5,714
MGI:MGI:1931526,50708,4.31,3.85,0.86,0,1560
MGI:MGI:88246,12306,630.69,15.1,42.27,18567.5,1132.166667
MGI:MGI:NA,NA,NA,NA,MGI:MGI:NA,0,1156.993521
MGI:MGI:97355,18102,145.85,14.29,10.14,7757.5,1375.333333
MGI:MGI:101757,12631,729.82,14.39,50.51,2395,1751
MGI:MGI:105384,15481,NA,10.38,27.03,3535,1229.5
MGI:MGI:97549,18643,692.25,16.04,44.6,1651.5,731
MGI:MGI:107812,22154,395.89,13.73,28.39,1498.5,1275.25
