Gene ID,Intron Length,Exon Length
13357,1535,909
13356,0,2540
11542,99,1171
11543,94,1717
11540,710,754
11541,261,3506
11546,0,365
11547,3777,3661
11544,11503,5898
11545,398,1425
11548,0,296
11549,296,190
5988,0,145
5989,0,104
5982,3020,2932
5983,335,4730
5980,0,548
5981,0,803
5986,303,671
5987,2066,1425
5984,246,1117
5985,1487,1077
12441,635,544
6796,1457,4860
6797,105,4309
6794,245,2823
6795,0,1277
6792,148,442
6793,1102,678
6790,1975,1323
6791,1448,860
13637,0,1667
6798,1720,1254
6799,0,2240
13549,95,481
6294,319,2015
270,1417,1005
271,146,901
272,3439,3363
273,98,754
274,676,583
275,85,1654
276,109,436
277,1165,1078
278,1616,1528
279,1938,906
12018,18500,9299
12015,9316,7866
12014,18343,9221
12017,249,1505
12016,424,123
12011,1215,1093
12010,602,303
12013,18392,9314
12012,0,2468
10709,0,1703
10708,193,2472
9528,101,1912
9529,209,3714
9258,0,71
9259,3031,1848
9256,104,772
9257,0,1331
9254,0,383
9255,1754,1651
9252,944,829
9253,242,540
9250,212,3110
9251,226,471
11366,204,2148
10619,0,1031
2143,0,362
10618,2232,1535
3519,2666,1728
3518,717,861
3513,183,618
3512,1068,594
3511,82,946
3510,132,3610
3517,115,1276
3516,634,550
3515,0,1355
3514,98,1021
2688,112,394
2689,0,866
2684,321,244
2685,146,2614
2686,0,2177
2687,0,902
2680,97,1642
2681,2158,2044
2682,2064,1975
2683,0,1808
13440,3901,3426
99,140,118
98,96,238
11362,0,269
91,1033,570
90,0,1148
93,0,674
92,0,643
95,2594,1171
94,0,1025
97,5215,2937
96,0,2037
13058,762,670
13059,537,291
13052,0,467
13053,0,3236
13050,0,70
13051,0,287
13056,102,1918
13057,435,3846
13054,295,3918
13055,1410,990
11664,429,301
13912,0,0
12109,377,156
13363,521,2221
10693,249,2380
1177,491,385
1176,96,3205
1175,0,860
1174,0,1334
1173,0,72
1172,106,2209
1171,0,176
1170,0,143
1179,0,374
1178,4522,2644
10580,181,3939
11771,3262,1687
7188,1598,1107
876,0,71
877,0,73
7180,182,1293
7181,0,70
7182,1560,1462
7183,116,370
7184,0,1634
3432,0,1013
7186,292,4517
7187,0,449
623,0,1373
875,0,1277
622,0,356
872,0,440
1225,846,709
3435,225,1008
12833,4894,2800
12832,1186,638
12831,1132,497
620,91,1051
8549,0,2003
870,101,3595
8019,0,956
8018,95,298
8017,371,879
627,0,1460
8015,2457,1491
871,950,567
8013,5164,2706
8012,0,854
8011,0,167
626,1227,1099
7456,192,1023
4592,10539,7576
7454,112,652
7455,1198,927
7452,6559,3985
625,0,656
7450,2328,2164
2036,106,1717
1220,0,713
4590,36,127
7458,0,218
7459,76,301
4591,39,148
2745,2212,1572
4849,3379,2832
13603,420,2023
4594,1866,1717
13602,0,197
4595,93,1294
13601,1323,1243
10884,110,1597
2749,0,161
10886,0,3740
10887,268,3540
10880,0,842
10881,2735,1620
10882,799,697
4845,450,1757
13607,108,1474
10888,0,1718
4598,2032,1888
12877,1789,1693
13606,0,938
8291,0,2240
4599,0,3038
4734,362,2146
8290,508,885
4735,761,670
8293,96,2662
8292,1472,1372
2039,425,1897
8295,0,1367
4843,83,157
12876,1827,1741
4738,106,835
8294,1572,7227
4739,882,733
8297,585,384
8296,1675,1582
393,79,2494
392,0,2492
391,384,3189
390,779,649
397,0,950
396,0,869
395,0,641
394,123,2314
399,211,1056
398,135,2136
2309,120,1066
2308,3586,3490
4729,321,2447
4728,5648,5602
2301,7554,7456
2300,0,1538
2303,2390,1482
2302,165,753
2305,0,1763
2304,174,127
4723,2119,1218
2306,0,188
5847,0,197
5846,0,605
5845,81,883
5844,0,809
5843,0,320
5842,3870,2223
5841,0,302
5840,155,3745
11281,278,190
11280,0,1589
11283,0,77
11282,0,80
11285,0,899
11284,3699,2172
5849,0,2726
5848,0,614
3748,2970,2223
3749,0,1877
3746,0,1670
3747,6210,5592
3744,69,1441
3745,1942,1005
3742,121,2023
3743,463,1796
3740,89,1087
3741,98,1627
4620,2603,2524
4621,5185,5101
4622,1937,1103
4623,200,1521
4624,1054,904
4625,99,676
4626,3905,3326
4627,0,1244
4628,2500,1198
4629,1728,1582
12778,3665,714
11757,0,998
