Gene ID,Intron Length,Exon Length
Cre03.g164550,3332,1503
Cre09.g389356,2655,2624
Cre10.g444250,2494,3997
Cre05.g238353,0,0
Cre03.g207150,2682,2229
Cre07.g351950,10358,4418
Cre09.g389350,349,2842
Cre02.g115500,3275,1969
Cre17.g716101,4249,5932
Cre02.g113950,1234,1759
Cre01.g003650,18236,5936
Cre05.g244450,5757,2209
Cre16.g690655,15378,7722
Cre01.g016250,3260,1145
Cre16.g654550,3039,7162
Cre03.g177300,1225,1872
Cre13.g576466,0,0
Cre17.g742866,4678,2480
Cre13.g571300,3653,2903
Cre12.g556350,1184,2937
Cre16.g654800,11711,10590
Cre12.g556600,4393,2715
Cre07.g354050,5887,10406
Cre03.g152950,9202,4264
Cre13.g602850,3734,1575
Cre10.g426950,2067,2185
Cre02.g117250,23882,6866
Cre10.g459226,1896,1731
Cre03.g157350,5660,3192
Cre13.g567626,0,0
Cre06.g282050,1647,2045
Cre06.g298950,1992,1925
Cre01.g025400,31925,15304
Cre04.g221100,91,2330
Cre09.g387097,5849,2986
Cre16.g655250,3121,1873
Cre12.g551950,0,0
Cre06.g282500,2281,640
Cre14.g628050,7990,5369
Cre13.g590450,1123,3828
Cre11.g467602,7291,5790
Cre02.g115508,8374,3551
Cre21.g753147,9865,4970
Cre13.g562900,785,1170
Cre15.g641662,2595,2524
Cre03.g144344,44580,11694
Cre02.g143367,3103,1188
Cre16.g690431,7264,4974
Cre02.g116700,2125,3947
Cre04.g215400,14495,3959
Cre04.g216102,185,2356
Cre02.g105100,324,1460
Cre01.g040100,1494,1828
Cre10.g431500,8683,4426
Cre13.g571902,10380,6315
Cre05.g241202,10571,3590
Cre52.g761647,2449,1873
Cre02.g100666,148,1283
Cre02.g141046,1051,1540
Cre01.g048350,5105,2178
Cre10.g466000,1267,452
Cre12.g553800,2843,7608
Cre17.g747847,1152,2904
Cre14.g627050,2198,2163
Cre03.g167351,510,2971
Cre01.g045550,2526,2559
Cre03.g208497,883,2444
Cre14.g620000,1046,2995
Cre08.g377850,7528,2722
Cre14.g632450,4457,4684
Cre14.g617850,582,2889
Cre08.g360444,0,0
Cre09.g400750,5106,4143
Cre06.g300650,4208,3194
Cre09.g400200,5546,5004
Cre08.g373450,6835,4013
Cre07.g328050,5687,1708
Cre02.g120001,533,3218
Cre17.g717500,2539,1383
Cre10.g438100,1784,1344
Cre10.g435350,4463,4008
Cre05.g243150,10779,9322
Cre12.g537100,19864,4867
Cre03.g145727,3423,2208
Cre03.g165600,1122,2749
Cre02.g116850,1053,2458
Cre06.g275300,1553,2226
Cre12.g522100,1926,2134
Cre03.g156650,7220,2874
Cre08.g380250,600,1472
Cre10.g425900,1060,1686
Cre14.g608452,16919,6411
Cre09.g399589,4717,3557
Cre16.g672945,3840,3430
Cre10.g447050,2266,1685
Cre01.g012400,4901,2012
Cre10.g447500,7734,3589
Cre13.g589100,1271,1513
Cre10.g460950,1285,1034
Cre08.g381800,4122,1589
Cre05.g245900,4566,4258
Cre17.g702550,1401,1116
Cre07.g357500,12822,8287
Cre02.g110700,19503,10505
Cre09.g390171,1356,5655
Cre08.g382900,1729,2532
Cre10.g423500,3465,1707
Cre16.g676085,7335,3215
Cre13.g580350,175,965
Cre09.g416616,0,0
Cre16.g651650,1203,1628
Cre13.g605800,12094,5989
Cre06.g278133,1097,2324
Cre06.g278132,2075,2005
Cre17.g696850,2985,1458
Cre03.g200550,5933,2164
Cre06.g278137,228,1949
Cre06.g278136,1881,2820
Cre06.g256526,2105,1729
Cre06.g278134,2113,2043
Cre12.g549100,19182,7677
Cre09.g388900,1815,2523
Cre03.g168000,5438,3791
Cre06.g278138,11819,5244
Cre12.g544752,1151,1661
Cre16.g691215,5992,3487
Cre12.g544750,26770,11818
Cre09.g390350,6289,3045
Cre02.g098350,2917,2434
Cre03.g198250,2427,1076
Cre16.g687966,2494,4727
Cre10.g465200,4282,1539
Cre09.g409050,5319,2190
Cre07.g315550,4279,2700
Cre07.g315300,2623,2531
Cre02.g095600,2745,2478
Cre11.g469187,1595,2899
Cre01.g055100,461,2088
Cre06.g292000,6963,2565
Cre19.g751047,2460,1109
Cre03.g153300,7058,2796
Cre10.g433900,17108,18655
Cre03.g153306,17155,6894
Cre02.g106450,15170,6527
Cre07.g314833,108,823
Cre03.g152300,9037,3331
Cre09.g397993,21310,4183
Cre06.g272950,1674,823
Cre10.g418550,2463,2344
Cre13.g572750,46733,8278
Cre10.g418800,21095,11647
Cre08.g370900,7610,2782
Cre06.g302650,2155,1688
Cre13.g562250,12271,5230
Cre07.g347200,1299,1442
Cre03.g194700,3411,4900
Cre04.g214550,2148,1013
Cre12.g523276,1345,1279
Cre05.g242200,3922,4379
Cre28.g757697,2082,1978
Cre21.g751847,2774,2675
Cre14.g612633,70125,33247
Cre06.g281250,3524,4577
Cre12.g538900,4096,1788
Cre10.g446900,4887,2131
Cre07.g339000,1640,1441
Cre09.g398700,3513,1858
Cre17.g734596,582,1299
Cre16.g679221,4031,2005
Cre17.g712300,3147,3726
Cre08.g363750,3804,2605
Cre14.g610850,2889,1302
Cre07.g323450,1234,3497
Cre09.g396500,4432,1705
Cre01.g048900,12274,4561
Cre03.g204241,10537,3258
Cre14.g633903,1377,1304
Cre12.g534900,8245,5369
Cre12.g510300,6672,5719
Cre06.g252350,6478,4709
Cre15.g637216,1486,1615
Cre01.g011376,240,1391
Cre16.g677350,2491,3820
Cre10.g422100,6777,3425
Cre03.g178450,2402,1746
Cre13.g571540,560,541
Cre02.g142266,2901,2939
Cre16.g688050,5949,3386
Cre08.g377100,4326,1788
Cre02.g095500,9706,3190
Cre06.g288850,1291,1368
Cre17.g699500,6062,2014
Cre05.g244950,516,1446
Cre06.g251550,7071,2789
Cre02.g117813,2754,4257
Cre12.g506050,11041,3032
Cre09.g394000,0,0
Cre03.g169350,1030,2217
Cre03.g169601,1846,1501
Cre16.g650425,0,0
Cre02.g107050,35149,12985
Cre09.g392106,326,1814
Cre06.g257650,4222,1662
Cre09.g395732,588,4733
Cre09.g392105,0,0
Cre17.g698450,2982,1917
Cre22.g754197,4408,2954
Cre04.g218526,3963,1658
Cre17.g698903,10026,12492
Cre17.g698900,894,1987
Cre06.g296600,0,0
Cre16.g668250,19037,8588
Cre17.g715950,642,1428
Cre02.g095042,96,2083
Cre02.g095043,3335,3264
Cre02.g095044,0,0
Cre02.g095045,24539,9004
Cre02.g095046,9153,2950
Cre02.g095047,2195,1525
Cre17.g704100,312,2419
Cre11.g467800,3469,2460
Cre17.g704450,1237,4024
Cre08.g358577,326,3145
Cre17.g709750,1415,8201
Cre16.g689500,2644,6237
Cre06.g301350,1401,5653
Cre13.g607000,8256,3186
Cre12.g494400,4950,1957
Cre24.g755847,8051,2943
Cre08.g384500,3390,1811
Cre06.g289450,3511,7980
Cre13.g581900,2262,2790
Cre09.g391900,474,920
Cre10.g419600,3877,2918
Cre04.g214650,17357,10656
Cre07.g316992,79371,31157
Cre02.g112366,0,0
Cre06.g268300,0,0
Cre09.g391912,1230,6043
Cre13.g564151,22809,8196
Cre12.g548800,4594,3537
Cre17.g726600,24163,12593
Cre07.g317000,660,1555
Cre03.g143727,712,2743
Cre08.g375084,21512,5915
Cre03.g189300,4028,1479
Cre12.g495955,7875,5523
Cre03.g189650,12424,5634
Cre11.g482400,1876,947
Cre12.g557928,1959,1068
Cre17.g697350,1628,1473
Cre12.g492851,8989,4760
Cre12.g492850,3564,5364
Cre11.g467739,1823,1986
Cre11.g467738,542,1533
Cre01.g046650,7755,4924
Cre03.g187550,3209,3292
Cre11.g467733,62,1488
Cre11.g467732,2222,1491
Cre11.g467731,0,0
Cre11.g467730,21986,6968
Cre11.g467737,14239,8217
Cre01.g056696,20939,8460
Cre11.g467735,2454,1079
Cre11.g467734,501,1452
Cre14.g630700,14248,8845
Cre12.g533900,13484,4390
Cre06.g251800,5039,2170
Cre01.g025650,575,1766
Cre02.g102100,1775,2306
Cre25.g756247,9860,4230
Cre10.g421450,5459,5091
Cre10.g421100,287,6224
Cre07.g336050,4781,3216
Cre04.g216100,2108,983
Cre16.g673450,246,6575
Cre02.g147301,4340,3007
Cre06.g258450,12128,3726
Cre08.g374100,10146,7497
Cre07.g344600,5506,3028
Cre11.g480800,2200,1691
Cre16.g669250,8206,8348
Cre07.g349250,3072,1464
Cre17.g705850,6009,2108
Cre01.g015500,2240,1766
Cre12.g527550,1532,959
Cre01.g046502,721,3778
Cre01.g046500,937,3560
Cre01.g046501,721,3781
Cre06.g271150,4666,6375
Cre10.g420850,3343,2081
Cre07.g315600,9813,3482
Cre09.g397702,20338,10502
Cre14.g628900,270,3939
Cre03.g162400,4035,4506
Cre07.g316450,6948,3591
Cre10.g454951,2220,1343
Cre19.g750147,6880,3153
Cre02.g142667,3908,3153
Cre04.g217928,1429,3842
Cre17.g703101,447,2014
Cre12.g493450,2954,3847
Cre14.g627917,8605,2771
Cre12.g504200,1711,1050
Cre24.g755197,3212,1456
Cre24.g755397,2503,1214
Cre17.g703450,2727,6074
Cre12.g530100,3327,1693
Cre03.g176325,692,5697
Cre07.g314351,4129,2780
Cre06.g267000,1851,1930
Cre10.g444086,651,915
Cre06.g300400,774,1700
Cre16.g652400,9395,9356
Cre09.g400923,11746,3838
Cre17.g719100,695,2406
Cre04.g212550,1964,3986
Cre17.g697150,31616,13909
Cre09.g404400,2636,1423
Cre01.g000600,6400,2485
Cre17.g702850,45303,15751
Cre14.g609551,4778,4138
Cre03.g160750,5989,2902
Cre17.g731600,534,637
Cre05.g244200,4434,3107
Cre16.g687294,1158,1072
Cre03.g190850,855,1374
Cre12.g502750,601,1041
Cre16.g684550,528,1414
Cre14.g608600,365,1378
Cre01.g005543,0,0
Cre08.g367350,2566,2075
Cre06.g286150,2136,3177
Cre06.g250850,14865,6092
Cre13.g582100,0,0
Cre01.g032900,21689,12106
Cre02.g145150,13603,8036
Cre16.g692550,13743,3905
Cre17.g711480,0,0
Cre40.g760197,0,0
Cre05.g235650,1315,3769
Cre03.g205250,10408,2500
Cre10.g428706,6100,3124
Cre17.g738400,3346,1128
Cre08.g368700,5612,2371
Cre09.g390615,1069,3269
Cre02.g101100,3947,1636
Cre16.g674100,26301,13662
Cre12.g521250,1213,1918
Cre12.g547050,2261,1440
Cre11.g468600,2321,3546
Cre05.g234648,1692,1140
Cre08.g370350,2621,1588
Cre08.g379550,11238,6144
Cre11.g475200,7403,3379
Cre01.g040350,11565,4268
Cre11.g475750,4466,2603
Cre09.g411400,2950,1551
Cre07.g342000,4564,3492
Cre06.g293200,6017,4888
Cre08.g367876,0,0
Cre11.g478184,7530,6511
Cre03.g203700,2798,6455
Cre07.g343200,5078,6723
Cre23.g754797,162,2875
Cre14.g632626,0,0
Cre17.g741650,289,1103
Cre11.g480116,72,2199
Cre06.g249800,708,2093
Cre16.g670950,820,1291
Cre10.g462000,8028,6135
Cre08.g366900,700,4121
Cre01.g031450,5910,2867
Cre06.g248850,7942,3270
Cre02.g107550,11064,3840
Cre14.g618050,705,1529
Cre01.g018900,2700,3731
Cre05.g233300,7057,2396
Cre12.g524850,28020,22710
Cre17.g707750,1570,2219
Cre07.g337125,2822,1986
Cre05.g233304,4797,3623
Cre05.g233305,15171,4248
Cre12.g505151,1920,1172
Cre12.g505150,2310,5658
Cre13.g573850,1065,935
Cre11.g479050,1439,1632
Cre16.g677900,3222,2380
Cre10.g450950,2988,2113
Cre03.g160800,5949,3169
Cre12.g537371,0,0
Cre03.g161400,5104,1849
Cre10.g450400,3058,1541
Cre12.g536425,2704,1822
Cre17.g733200,1203,1498
Cre12.g536350,3988,3106
Cre17.g733208,1252,2924
Cre17.g736511,98,6313
Cre17.g700900,248,4513
Cre16.g683050,4581,3479
Cre16.g683500,2558,1913
Cre05.g234663,10752,4244
Cre12.g503800,3510,2197
Cre07.g330700,7533,4544
Cre17.g719813,1134,1064
Cre17.g734961,37237,7790
Cre05.g236626,0,0
